V1,V2,V3
-126,45,-2791.99658203125
-125.966386554622,45,-2782.306640625
-125.932773109244,45,-2793.69653320312
-125.899159663866,45,-2811.306640625
-125.865546218487,45,-2817.74560546875
-125.831932773109,45,-2810.67553710938
-125.798319327731,45,-2802.27563476562
-125.764705882353,45,-2792.91552734375
-125.731092436975,45,-2785.91552734375
-125.697478991597,45,-2785.21557617188
-125.663865546218,45,-2781.28564453125
-125.63025210084,45,-2767.03564453125
-125.596638655462,45,-2743.15966796875
-125.563025210084,45,-2736.86962890625
-125.529411764706,45,-2730.509765625
-125.495798319328,45,-2744.72973632812
-125.46218487395,45,-2758.14965820312
-125.428571428571,45,-2676.85961914062
-125.394957983193,45,-2429.99975585938
-125.361344537815,45,-2317.509765625
-125.327731092437,45,-2010.52392578125
-125.294117647059,45,-1866.59399414062
-125.260504201681,45,-1188.083984375
-125.226890756303,45,-1194.52392578125
-125.193277310924,45,-1411.92395019531
-125.159663865546,45,-1539.74401855469
-125.126050420168,45,-1306.99401855469
-125.09243697479,45,-1382.25390625
-125.058823529412,45,-1202.60852050781
-125.025210084034,45,-1003.78851318359
-124.991596638655,45,-892.058471679688
-124.957983193277,45,-812.068481445312
-124.924369747899,45,-765.788513183594
-124.890756302521,45,-741.858520507812
-124.857142857143,45,-692.758483886719
-124.823529411765,45,-667.498474121094
-124.789915966387,45,-621.47412109375
-124.756302521008,45,-592.074096679688
-124.72268907563,45,-461.834106445312
-124.689075630252,45,-424.184112548828
-124.655462184874,45,-445.124114990234
-124.621848739496,45,-447.684112548828
-124.588235294118,45,-450.694122314453
-124.55462184874,45,-438.104125976562
-124.521008403361,45,-410.159240722656
-124.487394957983,45,-363.789245605469
-124.453781512605,45,-314.529235839844
-124.420168067227,45,-259.999237060547
-124.386554621849,45,-219.109237670898
-124.352941176471,45,-187.489242553711
-124.319327731092,45,-170.289245605469
-124.285714285714,45,-158.919235229492
-124.252100840336,45,-145.500991821289
-124.218487394958,45,-126.170997619629
-124.18487394958,45,-107.640991210938
-124.151260504202,45,-93.6709976196289
-124.117647058824,45,-76.1009979248047
-124.084033613445,45,-58.0809936523438
-124.050420168067,45,-33.0009956359863
-124.016806722689,45,5.43900489807129
-123.983193277311,45,37.8054237365723
-123.949579831933,45,178.705429077148
-123.915966386555,45,228.825424194336
-123.882352941176,45,194.675415039062
-123.848739495798,45,258.525421142578
-123.81512605042,45,489.455413818359
-123.781512605042,45,743.005432128906
-123.747899159664,45,768.145446777344
-123.714285714286,45,745.328002929688
-123.680672268908,45,697.477966308594
-123.647058823529,45,602.588012695312
-123.613445378151,45,561.807983398438
-123.579831932773,45,475.147979736328
-123.546218487395,45,520.787963867188
-123.512605042017,45,405.747985839844
-123.478991596639,45,410.427978515625
-123.44537815126,45,310.02392578125
-123.411764705882,45,278.433929443359
-123.378151260504,45,213.583923339844
-123.344537815126,45,129.033920288086
-123.310924369748,45,98.4439163208008
-123.27731092437,45,77.9139175415039
-123.243697478992,45,86.8439178466797
-123.210084033613,45,73.4539184570312
-123.176470588235,45,93.8967971801758
-123.142857142857,45,205.716796875
-123.109243697479,45,167.916793823242
-123.075630252101,45,77.2767944335938
-123.042016806723,45,39.4467926025391
-123.008403361345,45,43.906795501709
-122.974789915966,45,53.8967933654785
-122.941176470588,45,57.3367919921875
-122.90756302521,45,58.7891654968262
-122.873949579832,45,61.1391677856445
-122.840336134454,45,59.5091667175293
-122.806722689076,45,75.7191696166992
-122.773109243697,45,154.179168701172
-122.739495798319,45,187.079162597656
-122.705882352941,45,289.079162597656
-122.672268907563,45,316.1591796875
-122.638655462185,45,266.863250732422
-122.605042016807,45,452.873229980469
-122.571428571429,45,410.353240966797
-122.53781512605,45,453.623229980469
-122.504201680672,45,646.933227539062
-122.470588235294,45,433.353240966797
-122.436974789916,45,679.223266601562
-122.403361344538,45,818.453247070312
-122.36974789916,45,740.465454101562
-122.336134453782,45,818.525451660156
-122.302521008403,45,927.595458984375
-122.268907563025,45,859.025451660156
-122.235294117647,45,965.005432128906
-122.201680672269,45,1259.86547851562
-122.168067226891,45,1119.99548339844
-122.134453781513,45,1064.37548828125
-122.100840336134,45,832.42529296875
-122.067226890756,45,657.585327148438
-122.033613445378,45,639.875305175781
-122,45,1046.51525878906
-126,44.9665551839465,-2804.31665039062
-125.966386554622,44.9665551839465,-2800.28662109375
-125.932773109244,44.9665551839465,-2808.44653320312
-125.899159663866,44.9665551839465,-2820.28662109375
-125.865546218487,44.9665551839465,-2827.7255859375
-125.831932773109,44.9665551839465,-2819.17553710938
-125.798319327731,44.9665551839465,-2809.5556640625
-125.764705882353,44.9665551839465,-2799.41552734375
-125.731092436975,44.9665551839465,-2794.83569335938
-125.697478991597,44.9665551839465,-2792.63549804688
-125.663865546218,44.9665551839465,-2784.03564453125
-125.63025210084,44.9665551839465,-2766.25561523438
-125.596638655462,44.9665551839465,-2748.69970703125
-125.563025210084,44.9665551839465,-2749.60961914062
-125.529411764706,44.9665551839465,-2756.759765625
-125.495798319328,44.9665551839465,-2764.33959960938
-125.46218487395,44.9665551839465,-2779.43969726562
-125.428571428571,44.9665551839465,-2741.72973632812
-125.394957983193,44.9665551839465,-2549.51977539062
-125.361344537815,44.9665551839465,-2416.33959960938
-125.327731092437,44.9665551839465,-2054.56396484375
-125.294117647059,44.9665551839465,-1793.26391601562
-125.260504201681,44.9665551839465,-1301.64392089844
-125.226890756303,44.9665551839465,-1250.57397460938
-125.193277310924,44.9665551839465,-1399.41394042969
-125.159663865546,44.9665551839465,-1470.583984375
-125.126050420168,44.9665551839465,-1229.49401855469
-125.09243697479,44.9665551839465,-1179.56396484375
-125.058823529412,44.9665551839465,-1108.9384765625
-125.025210084034,44.9665551839465,-998.408508300781
-124.991596638655,44.9665551839465,-856.868469238281
-124.957983193277,44.9665551839465,-649.038513183594
-124.924369747899,44.9665551839465,-645.928466796875
-124.890756302521,44.9665551839465,-613.898498535156
-124.857142857143,44.9665551839465,-611.608520507812
-124.823529411765,44.9665551839465,-566.758483886719
-124.789915966387,44.9665551839465,-542.604125976562
-124.756302521008,44.9665551839465,-567.264099121094
-124.72268907563,44.9665551839465,-516.584106445312
-124.689075630252,44.9665551839465,-446.534118652344
-124.655462184874,44.9665551839465,-442.47412109375
-124.621848739496,44.9665551839465,-449.934112548828
-124.588235294118,44.9665551839465,-451.204132080078
-124.55462184874,44.9665551839465,-436.964111328125
-124.521008403361,44.9665551839465,-402.659240722656
-124.487394957983,44.9665551839465,-346.609252929688
-124.453781512605,44.9665551839465,-285.259246826172
-124.420168067227,44.9665551839465,-233.269241333008
-124.386554621849,44.9665551839465,-194.449234008789
-124.352941176471,44.9665551839465,-174.14924621582
-124.319327731092,44.9665551839465,-160.779235839844
-124.285714285714,44.9665551839465,-153.749237060547
-124.252100840336,44.9665551839465,-138.390991210938
-124.218487394958,44.9665551839465,-120.02099609375
-124.18487394958,44.9665551839465,-104.570991516113
-124.151260504202,44.9665551839465,-90.2509918212891
-124.117647058824,44.9665551839465,-69.7509918212891
-124.084033613445,44.9665551839465,-53.5309944152832
-124.050420168067,44.9665551839465,-28.0909957885742
-124.016806722689,44.9665551839465,22.8990058898926
-123.983193277311,44.9665551839465,64.555419921875
-123.949579831933,44.9665551839465,168.345428466797
-123.915966386555,44.9665551839465,293.205413818359
-123.882352941176,44.9665551839465,307.015411376953
-123.848739495798,44.9665551839465,394.615417480469
-123.81512605042,44.9665551839465,475.745422363281
-123.781512605042,44.9665551839465,779.905395507812
-123.747899159664,44.9665551839465,743.105407714844
-123.714285714286,44.9665551839465,653.037963867188
-123.680672268908,44.9665551839465,676.597961425781
-123.647058823529,44.9665551839465,733.388000488281
-123.613445378151,44.9665551839465,829.067993164062
-123.579831932773,44.9665551839465,690.947998046875
-123.546218487395,44.9665551839465,525.597961425781
-123.512605042017,44.9665551839465,531.398010253906
-123.478991596639,44.9665551839465,505.787994384766
-123.44537815126,44.9665551839465,469.473907470703
-123.411764705882,44.9665551839465,452.213928222656
-123.378151260504,44.9665551839465,270.213928222656
-123.344537815126,44.9665551839465,177.473922729492
-123.310924369748,44.9665551839465,135.313919067383
-123.27731092437,44.9665551839465,81.8539199829102
-123.243697478992,44.9665551839465,63.9139175415039
-123.210084033613,44.9665551839465,59.1439170837402
-123.176470588235,44.9665551839465,59.1967926025391
-123.142857142857,44.9665551839465,126.066795349121
-123.109243697479,44.9665551839465,201.976791381836
-123.075630252101,44.9665551839465,111.696792602539
-123.042016806723,44.9665551839465,47.4467926025391
-123.008403361345,44.9665551839465,52.4767951965332
-122.974789915966,44.9665551839465,61.596794128418
-122.941176470588,44.9665551839465,60.8667945861816
-122.90756302521,44.9665551839465,62.0191688537598
-122.873949579832,44.9665551839465,65.1391677856445
-122.840336134454,44.9665551839465,82.4991683959961
-122.806722689076,44.9665551839465,126.749168395996
-122.773109243697,44.9665551839465,174.599166870117
-122.739495798319,44.9665551839465,258.259155273438
-122.705882352941,44.9665551839465,289.809173583984
-122.672268907563,44.9665551839465,425.88916015625
-122.638655462185,44.9665551839465,435.033233642578
-122.605042016807,44.9665551839465,404.083251953125
-122.571428571429,44.9665551839465,473.993225097656
-122.53781512605,44.9665551839465,577.723266601562
-122.504201680672,44.9665551839465,709.233215332031
-122.470588235294,44.9665551839465,660.683227539062
-122.436974789916,44.9665551839465,517.933227539062
-122.403361344538,44.9665551839465,629.083251953125
-122.36974789916,44.9665551839465,649.625427246094
-122.336134453782,44.9665551839465,865.745422363281
-122.302521008403,44.9665551839465,1106.58544921875
-122.268907563025,44.9665551839465,1097.01538085938
-122.235294117647,44.9665551839465,1113.80541992188
-122.201680672269,44.9665551839465,1043.20544433594
-122.168067226891,44.9665551839465,836.995422363281
-122.134453781513,44.9665551839465,802.04541015625
-122.100840336134,44.9665551839465,935.475341796875
-122.067226890756,44.9665551839465,991.395324707031
-122.033613445378,44.9665551839465,747.67529296875
-122,44.9665551839465,838.92529296875
-126,44.933110367893,-2818.83959960938
-125.966386554622,44.933110367893,-2821.69970703125
-125.932773109244,44.933110367893,-2824.009765625
-125.899159663866,44.933110367893,-2829.94970703125
-125.865546218487,44.933110367893,-2837.10180664062
-125.831932773109,44.933110367893,-2831.06176757812
-125.798319327731,44.933110367893,-2819.67163085938
-125.764705882353,44.933110367893,-2812.71166992188
-125.731092436975,44.933110367893,-2807.77172851562
-125.697478991597,44.933110367893,-2801.66162109375
-125.663865546218,44.933110367893,-2788.6416015625
-125.63025210084,44.933110367893,-2764.49169921875
-125.596638655462,44.933110367893,-2760.1923828125
-125.563025210084,44.933110367893,-2761.18237304688
-125.529411764706,44.933110367893,-2778.482421875
-125.495798319328,44.933110367893,-2782.89233398438
-125.46218487395,44.933110367893,-2790.75219726562
-125.428571428571,44.933110367893,-2774.89233398438
-125.394957983193,44.933110367893,-2682.18237304688
-125.361344537815,44.933110367893,-2491.74243164062
-125.327731092437,44.933110367893,-2077.37426757812
-125.294117647059,44.933110367893,-1958.81433105469
-125.260504201681,44.933110367893,-1501.16430664062
-125.226890756303,44.933110367893,-1440.76428222656
-125.193277310924,44.933110367893,-1527.58435058594
-125.159663865546,44.933110367893,-1534.66430664062
-125.126050420168,44.933110367893,-1236.31433105469
-125.09243697479,44.933110367893,-1039.42431640625
-125.058823529412,44.933110367893,-944.580444335938
-125.025210084034,44.933110367893,-940.300476074219
-124.991596638655,44.933110367893,-832.170471191406
-124.957983193277,44.933110367893,-666.46044921875
-124.924369747899,44.933110367893,-575.630493164062
-124.890756302521,44.933110367893,-562.540466308594
-124.857142857143,44.933110367893,-485.270477294922
-124.823529411765,44.933110367893,-396.020477294922
-124.789915966387,44.933110367893,-351.081634521484
-124.756302521008,44.933110367893,-442.271636962891
-124.72268907563,44.933110367893,-449.991638183594
-124.689075630252,44.933110367893,-377.111633300781
-124.655462184874,44.933110367893,-398.061645507812
-124.621848739496,44.933110367893,-442.981628417969
-124.588235294118,44.933110367893,-436.131652832031
-124.55462184874,44.933110367893,-400.381652832031
-124.521008403361,44.933110367893,-343.872589111328
-124.487394957983,44.933110367893,-281.372589111328
-124.453781512605,44.933110367893,-235.952590942383
-124.420168067227,44.933110367893,-195.802581787109
-124.386554621849,44.933110367893,-174.152587890625
-124.352941176471,44.933110367893,-164.042587280273
-124.319327731092,44.933110367893,-152.912582397461
-124.285714285714,44.933110367893,-143.362594604492
-124.252100840336,44.933110367893,-129.960052490234
-124.218487394958,44.933110367893,-115.240051269531
-124.18487394958,44.933110367893,-100.670051574707
-124.151260504202,44.933110367893,-84.6300506591797
-124.117647058824,44.933110367893,-62.5900535583496
-124.084033613445,44.933110367893,-47.8500518798828
-124.050420168067,44.933110367893,-24.0200519561768
-124.016806722689,44.933110367893,8.73994731903076
-123.983193277311,44.933110367893,52.7311630249023
-123.949579831933,44.933110367893,298.311157226562
-123.915966386555,44.933110367893,298.801147460938
-123.882352941176,44.933110367893,282.821166992188
-123.848739495798,44.933110367893,254.77116394043
-123.81512605042,44.933110367893,374.391174316406
-123.781512605042,44.933110367893,537.861145019531
-123.747899159664,44.933110367893,645.211181640625
-123.714285714286,44.933110367893,493.697296142578
-123.680672268908,44.933110367893,575.837280273438
-123.647058823529,44.933110367893,715.077331542969
-123.613445378151,44.933110367893,811.567321777344
-123.579831932773,44.933110367893,910.777282714844
-123.546218487395,44.933110367893,730.527282714844
-123.512605042017,44.933110367893,480.347320556641
-123.478991596639,44.933110367893,439.297302246094
-123.44537815126,44.933110367893,479.864990234375
-123.411764705882,44.933110367893,329.274963378906
-123.378151260504,44.933110367893,224.974975585938
-123.344537815126,44.933110367893,146.764984130859
-123.310924369748,44.933110367893,106.494979858398
-123.27731092437,44.933110367893,90.0549774169922
-123.243697478992,44.933110367893,70.7549743652344
-123.210084033613,44.933110367893,61.1349754333496
-123.176470588235,44.933110367893,53.2138481140137
-123.142857142857,44.933110367893,47.633846282959
-123.109243697479,44.933110367893,48.6038475036621
-123.075630252101,44.933110367893,55.1738471984863
-123.042016806723,44.933110367893,84.1738433837891
-123.008403361345,44.933110367893,60.0438461303711
-122.974789915966,44.933110367893,64.3738479614258
-122.941176470588,44.933110367893,68.8738479614258
-122.90756302521,44.933110367893,98.4423522949219
-122.873949579832,44.933110367893,117.342346191406
-122.840336134454,44.933110367893,153.382354736328
